동물보호센터 운영 인지정도,서울시의 폭넓은 동물보호센터 운영에 대한 찬성정도,반려동물 사육은 시민복지의 관점에서 정부가 관심을 가져야 한다,중앙정부/서울시가 반려동물을 위한 동물보호의 컨트롤타워기능 수행 필요,반려동물로 인한 갈등 증가로 공공차원에서 올바른 사육관리교육/갈등조정 기능 필요,"소비자 피해상담, 전염병 관리, 길고양이 중성화수술 등 민간부문이 담당하기 어려운 부분이 있다",반려동물 복지지원시설에 투자할 돈이 있으면 시민복지에  쓰는 것이 바람직,공공사업으로 추진시설의 경우 민간시설/동물보호단체 시설 적극 활용,반려동물 관련 정부의 중요 역할,서울시가 반려동물 복지지원시설 직접 운영시 우선적 담당 사업(1순위),서울시가 반려동물 복지지원시설 직접 운영시 우선적 담당 사업(2순위),서울시가 반려동물 복지지원시설 직접 운영시 우선적 담당 사업(3순위),인근에 선진동물복지지원시설이 들어서는 것에 대한 태도
2,2,4,4,4,4,3,3,3,1,3.0,4.0,4
2,2,1,4,5,4,5,5,3,3,6.0,7.0,3
3,2,2,4,5,5,5,3,3,1,4.0,3.0,4
1,2,3,4,3,4,3,3,1,2,7.0,8.0,3
2,1,3,3,4,3,3,3,3,1,6.0,7.0,3
1,2,4,4,4,4,4,4,1,3,6.0,8.0,4
2,2,4,4,5,4,5,2,3,3,2.0,8.0,3
3,2,4,2,4,4,5,4,2,2,3.0,6.0,3
1,2,4,4,5,4,5,5,3,2,3.0,6.0,3
3,2,3,3,4,4,2,4,1,2,3.0,5.0,3
2,2,3,4,3,3,3,3,2,3,4.0,6.0,4
1,1,5,5,4,5,1,2,2,6,1.0,8.0,4
2,1,4,4,3,4,4,3,2,3,4.0,6.0,3
1,3,3,3,4,3,3,3,2,3,6.0,4.0,3
2,4,1,1,4,4,5,5,3,10,0.0,0.0,1
2,2,2,3,3,4,2,2,3,4,3.0,1.0,2
1,2,4,4,4,4,4,3,1,3,1.0,2.0,4
1,1,5,5,5,4,3,5,3,3,8.0,2.0,5
1,1,2,3,5,4,2,4,2,3,6.0,8.0,3
1,2,3,4,4,4,3,4,3,1,3.0,7.0,3
3,2,3,2,4,4,5,4,2,1,3.0,4.0,4
2,2,4,4,4,4,4,4,2,3,6.0,1.0,4
1,1,4,4,5,3,3,3,2,1,3.0,4.0,4
1,1,5,4,4,3,2,2,1,2,3.0,4.0,3
2,1,4,5,5,5,4,4,3,2,3.0,1.0,3
2,2,1,3,3,3,3,4,3,3,5.0,6.0,1
1,1,4,3,4,4,2,2,1,3,5.0,6.0,4
3,4,1,1,5,3,5,5,3,1,4.0,2.0,3
1,1,4,5,4,4,1,3,1,2,4.0,8.0,4
3,2,3,4,5,3,3,4,1,2,3.0,4.0,3
2,2,3,4,4,3,4,4,1,1,4.0,6.0,4
1,1,4,5,4,4,2,2,1,3,2.0,6.0,4
1,1,5,5,5,5,4,4,2,1,3.0,8.0,5
2,2,3,4,5,5,4,4,3,2,1.0,7.0,4
1,2,3,3,4,4,5,4,1,7,2.0,3.0,3
1,2,4,4,5,5,4,4,1,2,7.0,3.0,3
2,2,3,3,4,5,3,3,1,3,2.0,1.0,3
1,2,3,3,2,3,3,3,3,5,6.0,7.0,3
1,1,4,4,5,4,2,3,1,2,1.0,3.0,4
2,2,4,3,4,4,3,4,3,3,2.0,1.0,3
2,2,4,4,5,5,3,3,3,3,7.0,2.0,4
2,1,4,4,5,4,3,2,1,2,1.0,3.0,3
2,4,3,3,4,4,4,4,3,1,3.0,4.0,3
2,1,1,3,4,2,4,4,3,1,7.0,4.0,4
2,2,3,3,3,3,2,3,2,2,4.0,6.0,3
1,1,5,4,5,5,2,4,1,3,1.0,2.0,3
1,2,4,4,3,4,2,2,3,3,6.0,7.0,4
2,2,3,3,4,4,4,4,3,1,3.0,5.0,3
2,2,3,4,4,4,4,3,3,3,6.0,4.0,4
2,2,4,4,4,3,3,4,1,3,2.0,7.0,3
2,1,4,4,5,4,3,3,2,4,3.0,6.0,3
1,2,3,3,3,4,4,4,1,3,2.0,4.0,2
1,1,4,5,5,4,3,4,3,3,4.0,1.0,4
2,2,3,4,4,4,4,4,1,3,4.0,5.0,4
2,1,4,5,4,5,2,2,2,3,1.0,2.0,4
2,2,3,4,4,4,3,3,1,2,3.0,7.0,3
1,1,4,4,5,4,2,2,2,1,3.0,4.0,5
1,1,5,5,5,5,1,4,1,3,2.0,8.0,4
3,2,4,5,5,5,2,3,3,3,1.0,6.0,3
1,2,4,5,4,4,3,3,3,3,4.0,1.0,3
1,1,2,1,3,3,3,3,3,2,3.0,6.0,2
1,2,4,3,4,5,3,3,2,4,1.0,6.0,3
2,2,3,4,4,4,3,4,3,1,2.0,4.0,2
2,1,4,4,4,3,3,3,1,1,4.0,8.0,4
1,1,4,4,5,5,2,4,3,2,3.0,8.0,4
3,3,2,3,2,3,3,3,3,1,3.0,6.0,3
1,2,3,3,3,3,3,4,2,3,1.0,6.0,3
1,1,4,5,5,4,2,3,2,2,1.0,6.0,4
1,1,4,4,4,4,4,3,1,1,2.0,3.0,3
2,2,3,3,3,3,4,3,3,1,4.0,2.0,3
3,2,2,3,3,4,4,3,2,4,2.0,8.0,3
2,2,4,4,5,4,3,4,3,2,6.0,7.0,3
2,2,2,4,4,4,4,3,1,3,2.0,1.0,3
1,1,4,4,5,4,5,5,3,1,3.0,4.0,4
1,1,5,5,5,5,3,4,3,7,2.0,1.0,5
2,1,4,4,4,3,2,4,1,3,2.0,7.0,3
2,2,4,4,5,4,5,4,1,1,3.0,6.0,4
1,1,4,5,4,4,5,5,1,1,4.0,2.0,4
1,1,5,4,4,3,4,4,1,2,5.0,7.0,4
2,2,3,4,5,5,3,4,1,2,3.0,4.0,3
1,1,5,3,4,5,1,5,2,1,4.0,3.0,5
1,1,4,5,5,4,3,2,2,1,2.0,3.0,4
2,2,3,4,3,3,4,4,2,1,2.0,6.0,3
2,2,3,3,4,3,4,3,1,2,3.0,4.0,3
2,4,2,3,4,4,5,4,3,3,2.0,7.0,2
1,2,3,2,4,5,3,5,3,1,4.0,3.0,1
2,2,4,5,5,5,2,5,3,1,2.0,3.0,3
1,2,4,4,4,5,3,3,1,3,2.0,8.0,2
1,2,2,4,4,2,2,3,3,4,3.0,2.0,3
2,2,1,4,5,5,4,4,3,7,2.0,1.0,3
1,2,4,2,5,5,3,2,3,1,2.0,8.0,3
1,1,4,4,5,4,2,3,1,3,2.0,1.0,4
2,2,3,4,5,3,3,4,1,3,7.0,2.0,3
1,1,2,3,4,4,5,4,3,3,4.0,2.0,2
2,2,3,4,4,3,3,4,1,2,3.0,1.0,3
1,2,3,4,4,4,3,3,3,3,4.0,7.0,3
2,2,4,4,3,3,3,4,2,5,3.0,1.0,3
1,2,3,2,2,3,3,2,1,2,1.0,3.0,3
3,2,3,5,3,4,1,2,2,3,8.0,2.0,4
1,3,1,1,5,4,5,3,3,10,0.0,0.0,1
1,2,4,3,3,3,3,3,2,3,2.0,4.0,3
1,2,4,4,3,3,2,4,1,1,3.0,2.0,3
1,1,5,5,5,5,1,4,3,2,3.0,1.0,5
2,1,4,5,5,5,3,3,3,2,3.0,1.0,3
2,4,3,3,3,4,3,2,1,4,3.0,1.0,3
2,2,3,3,3,3,4,3,2,3,4.0,1.0,3
2,2,4,3,3,4,3,3,3,2,3.0,4.0,4
2,1,3,3,4,5,4,3,3,2,8.0,6.0,4
2,1,5,3,5,4,3,4,3,2,3.0,4.0,3
2,2,2,3,2,3,5,4,3,3,1.0,4.0,3
3,1,5,4,5,5,2,4,1,3,2.0,1.0,4
2,2,4,4,4,4,4,4,3,6,2.0,4.0,4
