연령,가족 구성원 수,주택규모,월평균 가구소득,성별_1,성별_2,주택형태_1,주택형태_2,주택형태_3,주택형태_4,향후 반려동물 사육의향,화이트칼라,블루칼라,자영업,비경제활동층,기타
0.860967991,1.467578722,0.433141556,0.394873595,1,0,0,0,1,0,0,1,0,0,0,0
-0.467158089,-0.248828226,-0.390883843,-0.118462078,1,0,1,0,0,0,0,1,0,0,0,0
1.480760162,0.609375248,2.493205051,1.421544942,1,0,0,1,0,0,0,1,0,0,0,0
0.94950973,0.609375248,0.433141556,-0.631797752,1,0,1,0,0,0,0,1,0,0,0,0
1.215134946,0.609375248,0.433141556,0.908209268,1,0,0,1,0,0,0,1,0,0,0,0
1.392218423,-1.1070317,-2.03893464,-1.658469098,1,0,0,0,1,0,0,0,1,0,0,0
0.860967991,0.609375248,0.433141556,0.394873595,1,0,1,0,0,0,0,1,0,0,0,0
0.94950973,0.609375248,0.433141556,0.908209268,1,0,1,0,0,0,0,0,0,1,0,0
1.303676684,-1.1070317,0.433141556,1.421544942,1,0,0,1,0,0,0,0,0,1,0,0
-0.644241566,-0.248828226,0.433141556,-0.118462078,0,1,1,0,0,0,0,1,0,0,0,0
1.126593207,-0.248828226,-1.214909241,-0.631797752,1,0,0,1,0,0,0,0,0,1,0,0
1.303676684,0.609375248,0.433141556,0.394873595,0,1,1,0,0,0,0,0,0,0,1,0
1.392218423,-1.1070317,-0.390883843,-0.631797752,1,0,0,1,0,0,0,1,0,0,0,0
0.683884514,-0.248828226,0.433141556,0.394873595,0,1,0,0,1,0,0,1,0,0,0,0
0.772426253,-1.1070317,-1.214909241,-0.631797752,0,1,0,1,0,0,0,1,0,0,0,0
1.038051468,0.609375248,0.433141556,1.421544942,0,1,1,0,0,0,0,1,0,0,0,0
-0.290074611,-0.248828226,2.493205051,1.421544942,0,1,0,1,0,0,0,1,0,0,0,0
1.038051468,-0.248828226,0.433141556,0.394873595,0,1,1,0,0,0,0,0,0,0,1,0
