연령,가족 구성원 수,주택규모,월평균 가구소득,성별_1,성별_2,주택형태_1,주택형태_2,주택형태_3,주택형태_4,직업_1,직업_10,직업_2,직업_3,직업_4,직업_5,직업_6,직업_7,직업_8,직업_9,반려동물 사육경험_1,반려동물 사육경험_2,반려동물 사육경험_3,향후 반려동물 사육의향
47,2,15,150,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
54,5,15,250,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8
44,2,15,50,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
48,5,35,550,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
49,2,5,250,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.8
33,3,25,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
51,3,25,250,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4
55,4,60,750,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
49,4,35,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
52,4,35,650,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
44,3,5,50,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.8
54,2,5,150,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
48,4,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
49,4,35,650,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
57,4,35,450,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.2
64,5,15,150,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4
53,2,35,750,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
31,3,35,450,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
51,3,15,350,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
54,4,35,750,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2
53,4,35,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
34,3,25,750,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
54,2,25,350,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
46,3,35,550,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
55,4,45,650,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4
48,4,15,250,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2
47,2,15,350,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
35,3,25,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4
50,4,35,750,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
36,2,35,550,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4
55,4,45,450,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6000000000000001
32,1,15,150,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4
35,3,60,750,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
40,3,45,450,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6000000000000001
50,3,35,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
53,1,15,250,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
37,3,25,650,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
54,4,25,250,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4
45,2,25,350,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
45,2,15,450,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
48,1,25,750,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8
62,2,25,550,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
48,3,15,250,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6000000000000001
64,4,45,750,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
37,5,35,350,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4
52,4,60,750,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
59,5,60,750,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
35,2,35,550,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6000000000000001
43,3,15,450,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0
58,4,35,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
38,3,35,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
44,4,25,150,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6000000000000001
33,3,35,250,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
45,3,15,150,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6000000000000001
53,3,25,750,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
53,3,25,450,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
52,3,35,750,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
48,2,35,450,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8
57,3,35,750,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8
58,4,35,350,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8
67,2,45,350,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2
54,4,45,750,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
47,4,35,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6000000000000001
33,3,25,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
51,3,25,250,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
59,3,35,550,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.2
36,2,15,150,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
39,5,25,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
45,4,25,50,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.8
29,4,15,350,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
29,2,25,750,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8
50,4,45,650,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.6000000000000001
24,4,15,350,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6000000000000001
48,4,25,350,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6000000000000001
32,1,5,50,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
47,5,45,650,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
42,4,35,650,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
48,4,25,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
37,2,35,650,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
36,3,25,350,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
40,2,15,250,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
38,4,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
27,3,25,750,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
33,4,15,250,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2
54,4,35,350,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4
52,5,45,650,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
53,3,25,450,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.4
50,4,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
44,3,25,250,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.8
52,2,25,150,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2
